Trial,Exit Index,Samples Exited,Samples Exited (%),Accuracy (exited) (%),Total Model Params,Overall Accuracy,Exit Params,Submodel Params
set2_exit_blocks_1_14,2,9280,92.8,84.52,1490220.0,81.4,1101412.0,1101412.0
set2_exit_blocks_1_14,3,606,6.06,31.85,,,204900.0,204900.0
set2_exit_blocks_1_4,1,147,1.47,85.71,703788.0,79.7,183908.0,183908.0
set2_exit_blocks_1_4,2,1473,14.73,84.59,703788.0,79.7,314980.0,314980.0
set2_exit_blocks_1_4,3,8380,83.8,78.74,,,204900.0,204900.0
set2_exit_blocks_1_5,1,211,2.11,81.99,703788.0,79.07,183908.0,183908.0
set2_exit_blocks_1_5,2,2197,21.97,85.12,703788.0,79.07,314980.0,314980.0
set2_exit_blocks_1_5,3,7592,75.92,77.24,,,204900.0,204900.0
set2_exit_blocks_1_6,1,196,1.96,84.69,703788.0,78.94,183908.0,183908.0
set2_exit_blocks_1_6,2,2592,25.92,86.65,703788.0,78.94,314980.0,314980.0
set2_exit_blocks_1_6,3,7212,72.12,76.01,,,204900.0,204900.0
set2_exit_blocks_1_7,1,184,1.84,84.24,965932.0,78.56,183908.0,183908.0
set2_exit_blocks_1_7,2,3822,38.22,86.42,965932.0,78.56,577124.0,577124.0
set2_exit_blocks_1_7,3,5994,59.94,73.37,,,204900.0,204900.0
set2_exit_blocks_1_8,1,191,1.91,86.39,965932.0,78.42,183908.0,183908.0
set2_exit_blocks_1_8,2,4792,47.92,86.52,965932.0,78.42,577124.0,577124.0
set2_exit_blocks_1_8,3,5017,50.17,70.38,,,204900.0,204900.0
set2_exit_blocks_1_9,1,140,1.4,85.0,965932.0,77.71,183908.0,183908.0
set2_exit_blocks_1_9,2,5837,58.37,85.4,965932.0,77.71,577124.0,577124.0
set2_exit_blocks_1_9,3,4023,40.23,66.29,,,204900.0,204900.0
set3_three_evenly_spaced_exits,1,529,5.29,93.38,1674128.0,74.75,314980.0,314980.0
set3_three_evenly_spaced_exits,2,3553,35.53,84.35,1674128.0,74.75,577124.0,577124.0
set3_three_evenly_spaced_exits,3,4423,44.23,72.48,1674128.0,74.75,577124.0,577124.0
set3_three_evenly_spaced_exits,4,1495,14.95,52.04,,,204900.0,204900.0
set4_four_evenly_spaced_exits,1,307,3.07,90.23,2382324.0,74.1,183908.0,183908.0
set4_four_evenly_spaced_exits,2,1889,18.89,87.4,2382324.0,74.1,314980.0,314980.0
set4_four_evenly_spaced_exits,3,4900,49.0,75.47,2382324.0,74.1,577124.0,577124.0
set4_four_evenly_spaced_exits,4,2728,27.28,63.27,2382324.0,74.1,1101412.0,1101412.0
set4_four_evenly_spaced_exits,5,176,1.76,32.95,,,204900.0,204900.0
